dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,wind.gust,rain.1h,snow.1h
1742169600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",281.27,278.55,1030,85,280.14,282.18,4.63,80,75,,,
1742173200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.89,278.07,1030,85,280.14,281.68,4.63,90,75,,,
1742176800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.99,277.41,1030,81,280.14,281.68,6.71,90,75,,,
1742180400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.43,276.37,1030,81,280.14,280.7,7.72,90,75,,,
1742184000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.43,276.69,1029,80,280.14,280.7,6.71,90,75,,,
1742187600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.38,277.01,1029,80,279.51,281.07,5.66,100,75,,,
1742191200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.35,276.78,1030,80,279.51,281.07,6.17,100,75,,,
1742194800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",279.76,276.44,1030,79,279.03,280.7,5.14,90,75,,,
1742198400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.37,276.8,1030,78,279.51,281.07,6.17,90,75,,,
1742202000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.85,277.23,1030,74,280.14,281.62,6.71,100,75,,,
1742205600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.79,276.99,1029,76,280.14,281.8,7.2,100,75,,,
1742209200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.81,276.72,1029,72,280.14,281.62,8.23,100,75,,,
1742212800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.87,276.84,1029,71,280.14,281.51,8.05,100,75,,,
1742216400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",281.31,277.82,1029,67,280.31,282.18,6.69,90,75,,,
1742220000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",281.09,277.08,1029,70,280.31,281.8,8.23,90,75,,,
1742223600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.58,276.47,1028,71,279.75,281.25,8.05,90,75,,,
1742227200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.26,276.48,1028,73,279.51,281.07,6.69,90,75,,,
1742230800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",279.98,276.12,1027,74,279.2,280.68,6.69,90,75,,,
1742234400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",279.84,276.13,1027,76,279.2,280.51,6.17,90,75,,,
1742238000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.84,276.32,1027,75,279.2,280.51,5.66,90,75,,,
1742241600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.76,276.22,1027,73,279.03,280.51,5.66,90,75,,,
1742245200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.76,275.83,1027,70,279.03,280.51,6.71,90,75,,,
1742248800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.42,275.4,1027,71,279.03,279.75,6.71,90,75,,,
1742252400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.34,275.91,1026,71,279.03,279.68,5.14,110,75,,,
1742256000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.05,275.79,1026,70,278.47,279.68,4.63,110,75,,,
1742259600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.11,275.62,1026,72,278.08,279.96,5.14,100,75,,,
1742263200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",278.85,276.1,1025,74,278.08,279.4,3.6,100,75,,,
1742266800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.23,276.89,1024,73,278.47,279.96,3.09,90,75,,,
1742270400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.25,276.04,1023,74,278.68,279.59,4.63,100,75,,,
1742274000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.59,276.71,1023,73,278.51,280.51,4.12,100,75,,,
1742277600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.0,275.73,1023,72,278.08,279.68,4.63,130,75,,,
1742281200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",278.73,275.15,1023,74,278.47,279.19,5.14,120,75,,,
1742284800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",279.33,276.14,1023,71,278.64,279.96,4.63,120,75,,,
1742288400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",279.48,275.31,1023,74,279.2,279.75,7.2,110,75,,,
1742292000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.06,276.22,1023,74,279.2,281.07,6.69,110,75,,,
1742295600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",280.82,276.87,1023,75,279.68,281.81,7.72,110,40,,,
1742299200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",281.74,278.22,1022,72,280.86,282.37,7.2,110,40,,,
1742302800,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",282.15,278.46,1022,66,281.25,282.92,8.23,110,20,,,
1742306400,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",282.78,279.15,1021,60,281.97,284.03,8.75,110,20,,,
1742310000,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",282.78,279.56,1021,61,281.97,284.03,7.2,120,20,,,
1742313600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",282.3,278.94,1020,68,281.25,283.64,7.2,80,40,,,
1742317200,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",282.24,279.18,1020,71,281.25,283.29,6.17,80,20,,,
1742320800,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",281.42,278.14,1020,73,280.7,281.69,6.17,90,20,,,
1742324400,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",280.14,277.14,1020,77,279.03,281.07,4.63,90,20,,,
1742328000,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",278.16,274.95,1020,81,276.51,278.92,4.12,120,20,,,
1742331600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.15,275.59,1021,82,276.25,277.92,1.79,90,0,,,
1742335200,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.75,276.75,1020,83,275.86,277.92,1.03,0,20,,,
1742338800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.04,273.49,1020,82,275.14,278.48,2.57,80,0,,,
1742342400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",275.53,273.4,1020,82,274.58,276.68,2.06,130,0,,,
1742346000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",275.34,272.21,1020,84,274.68,278.48,3.09,130,0,,,
1742349600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",275.13,273.59,1019,89,274.03,277.37,1.54,140,0,,,
1742353200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",275.44,271.3,1019,87,274.4,277.37,4.63,110,0,,,
1742356800,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.71,273.49,1019,84,275.51,279.2,3.6,130,20,,,
1742360400,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",277.55,275.28,1019,81,276.25,278.64,2.57,170,20,,,
1742364000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.56,272.98,1019,78,275.14,277.92,4.12,140,0,,,
1742367600,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",275.93,273.36,1020,78,274.96,277.53,2.57,140,20,,,
1742371200,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",277.17,274.41,1020,82,276.25,279.19,3.09,90,20,,,
1742374800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",280.85,278.84,1020,74,278.47,281.42,3.09,90,40,,,
1742378400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",283.22,282.01,1020,66,282.68,283.64,2.68,75,0,5.81,,
1742382000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.02,282.7,1020,59,283.64,285.14,6.17,80,0,,,
1742385600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",283.9,282.52,1020,57,283.47,284.68,5.14,80,0,,,
1742389200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.27,282.98,1019,59,283.47,285.69,5.66,80,0,,,
1742392800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.58,283.32,1019,59,283.47,286.25,6.17,70,0,,,
1742396400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.71,283.49,1019,60,284.03,286.25,4.63,60,0,,,
1742400000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.19,282.99,1019,63,283.92,285.14,4.63,90,0,,,
